location,target_end_date,target_type,true_value,location_name,population
AT,2020-01-25,Cases,0,Austria,8809212
AT,2020-02-01,Cases,0,Austria,8809212
AT,2020-02-08,Cases,0,Austria,8809212
AT,2020-02-15,Cases,0,Austria,8809212
AT,2020-02-22,Cases,0,Austria,8809212
AT,2020-02-29,Cases,3,Austria,8809212
AT,2020-03-07,Cases,43,Austria,8809212
AT,2020-03-14,Cases,363,Austria,8809212
AT,2020-03-21,Cases,1989,Austria,8809212
AT,2020-03-28,Cases,4895,Austria,8809212
AT,2020-04-04,Cases,4180,Austria,8809212
AT,2020-04-11,Cases,2008,Austria,8809212
AT,2020-04-18,Cases,1148,Austria,8809212
AT,2020-04-25,Cases,478,Austria,8809212
AT,2020-05-02,Cases,410,Austria,8809212
AT,2020-05-09,Cases,246,Austria,8809212
AT,2020-05-16,Cases,304,Austria,8809212
AT,2020-05-23,Cases,302,Austria,8809212
AT,2020-05-30,Cases,199,Austria,8809212
AT,2020-06-06,Cases,184,Austria,8809212
AT,2020-06-13,Cases,218,Austria,8809212
AT,2020-06-20,Cases,212,Austria,8809212
AT,2020-06-27,Cases,266,Austria,8809212
AT,2020-07-04,Cases,506,Austria,8809212
AT,2020-07-11,Cases,665,Austria,8809212
AT,2020-07-18,Cases,739,Austria,8809212
AT,2020-07-25,Cases,798,Austria,8809212
AT,2020-08-01,Cases,907,Austria,8809212
AT,2020-08-08,Cases,709,Austria,8809212
AT,2020-08-15,Cases,1052,Austria,8809212
AT,2020-08-22,Cases,1863,Austria,8809212
AT,2020-08-29,Cases,1813,Austria,8809212
AT,2020-09-05,Cases,2156,Austria,8809212
AT,2020-09-12,Cases,3201,Austria,8809212
AT,2020-09-19,Cases,4962,Austria,8809212
AT,2020-09-26,Cases,4774,Austria,8809212
AT,2020-10-03,Cases,5041,Austria,8809212
AT,2020-10-10,Cases,6858,Austria,8809212
AT,2020-10-17,Cases,8525,Austria,8809212
AT,2020-10-24,Cases,13988,Austria,8809212
AT,2020-10-31,Cases,25462,Austria,8809212
AT,2020-11-07,Cases,40602,Austria,8809212
AT,2020-11-14,Cases,50275,Austria,8809212
AT,2020-11-21,Cases,43366,Austria,8809212
AT,2020-11-28,Cases,34815,Austria,8809212
AT,2020-12-05,Cases,24902,Austria,8809212
AT,2020-12-12,Cases,19237,Austria,8809212
AT,2020-12-19,Cases,17817,Austria,8809212
AT,2020-12-26,Cases,14335,Austria,8809212
AT,2021-01-02,Cases,13961,Austria,8809212
AT,2021-01-09,Cases,14462,Austria,8809212
AT,2021-01-16,Cases,12290,Austria,8809212
AT,2021-01-23,Cases,10705,Austria,8809212
AT,2021-01-30,Cases,9565,Austria,8809212
AT,2021-02-06,Cases,9371,Austria,8809212
AT,2021-02-13,Cases,9443,Austria,8809212
AT,2021-02-20,Cases,10372,Austria,8809212
AT,2021-02-27,Cases,13165,Austria,8809212
AT,2021-03-06,Cases,15514,Austria,8809212
AT,2021-03-13,Cases,17815,Austria,8809212
AT,2021-03-20,Cases,19840,Austria,8809212
AT,2021-03-27,Cases,22004,Austria,8809212
AT,2021-04-03,Cases,21603,Austria,8809212
AT,2021-04-10,Cases,18699,Austria,8809212
AT,2021-04-17,Cases,17997,Austria,8809212
AT,2021-04-24,Cases,16139,Austria,8809212
AT,2021-05-01,Cases,13927,Austria,8809212
AT,2021-05-08,Cases,10270,Austria,8809212
AT,2021-05-15,Cases,6896,Austria,8809212
AT,2021-05-22,Cases,4596,Austria,8809212
AT,2021-05-29,Cases,3463,Austria,8809212
AT,2021-06-05,Cases,2642,Austria,8809212
AT,2021-06-12,Cases,2098,Austria,8809212
AT,2021-06-19,Cases,1137,Austria,8809212
AT,2021-06-26,Cases,797,Austria,8809212
AT,2021-07-03,Cases,643,Austria,8809212
AT,2021-07-10,Cases,822,Austria,8809212
AT,2021-07-17,Cases,1688,Austria,8809212
AT,2021-07-24,Cases,2571,Austria,8809212
AT,2021-07-31,Cases,2932,Austria,8809212
AT,2021-08-07,Cases,3405,Austria,8809212
AT,2021-08-14,Cases,4889,Austria,8809212
AT,2021-08-21,Cases,7274,Austria,8809212
AT,2021-08-28,Cases,9005,Austria,8809212
AT,2021-09-04,Cases,10185,Austria,8809212
AT,2021-09-11,Cases,13508,Austria,8809212
AT,2021-09-18,Cases,14451,Austria,8809212
AT,2021-09-25,Cases,11939,Austria,8809212
AT,2021-10-02,Cases,12467,Austria,8809212
AT,2021-10-09,Cases,12768,Austria,8809212
AT,2021-10-16,Cases,13586,Austria,8809212
AT,2021-10-23,Cases,20340,Austria,8809212
AT,2021-10-30,Cases,28220,Austria,8809212
AT,2021-11-06,Cases,47038,Austria,8809212
AT,2021-11-13,Cases,69401,Austria,8809212
AT,2021-11-20,Cases,92654,Austria,8809212
AT,2021-11-27,Cases,92883,Austria,8809212
AT,2021-12-04,Cases,64750,Austria,8809212
AT,2021-12-11,Cases,33759,Austria,8809212
AT,2021-12-18,Cases,24033,Austria,8809212
AT,2021-12-25,Cases,15409,Austria,8809212
AT,2022-01-01,Cases,18421,Austria,8809212
AT,2022-01-08,Cases,43954,Austria,8809212
AT,2022-01-15,Cases,91687,Austria,8809212
AT,2022-01-22,Cases,149209,Austria,8809212
AT,2022-01-29,Cases,213581,Austria,8809212
AT,2022-02-05,Cases,230846,Austria,8809212
AT,2022-02-12,Cases,227313,Austria,8809212
AT,2022-02-19,Cases,205935,Austria,8809212
AT,2022-02-26,Cases,186799,Austria,8809212
AT,2022-03-05,Cases,201151,Austria,8809212
AT,2022-03-12,Cases,271543,Austria,8809212
AT,2022-03-19,Cases,323142,Austria,8809212
AT,2022-03-26,Cases,282002,Austria,8809212
AT,2022-04-02,Cases,188741,Austria,8809212
AT,2022-04-09,Cases,111271,Austria,8809212
AT,2022-04-16,Cases,73613,Austria,8809212
AT,2022-04-23,Cases,55447,Austria,8809212
AT,2022-04-30,Cases,43882,Austria,8809212
AT,2022-05-07,Cases,38877,Austria,8809212
AT,2022-05-14,Cases,32811,Austria,8809212
AT,2022-05-21,Cases,20030,Austria,8809212
AT,2022-05-28,Cases,15123,Austria,8809212
AT,2022-06-04,Cases,14233,Austria,8809212
AT,2022-06-11,Cases,20617,Austria,8809212
AT,2022-06-18,Cases,33481,Austria,8809212
AT,2022-06-25,Cases,50650,Austria,8809212
AT,2022-07-02,Cases,70586,Austria,8809212
AT,2022-07-09,Cases,70876,Austria,8809212
AT,2022-07-16,Cases,76825,Austria,8809212
AT,2022-07-23,Cases,85763,Austria,8809212
AT,2022-07-30,Cases,69427,Austria,8809212
AT,2022-08-06,Cases,47720,Austria,8809212
AT,2022-08-13,Cases,40189,Austria,8809212
AT,2022-08-20,Cases,37002,Austria,8809212
AT,2022-08-27,Cases,35680,Austria,8809212
AT,2022-09-03,Cases,31375,Austria,8809212
AT,2022-09-10,Cases,18800,Austria,8809212
AT,2022-09-17,Cases,29091,Austria,8809212
AT,2022-09-24,Cases,52890,Austria,8809212
AT,2022-10-01,Cases,77326,Austria,8809212
AT,2022-10-08,Cases,95767,Austria,8809212
AT,2022-10-15,Cases,91441,Austria,8809212
AT,2022-10-22,Cases,56506,Austria,8809212
AT,2022-10-29,Cases,44332,Austria,8809212
AT,2022-11-05,Cases,30749,Austria,8809212
AT,2022-11-12,Cases,25465,Austria,8809212
AT,2022-11-19,Cases,26325,Austria,8809212
AT,2022-11-26,Cases,29411,Austria,8809212
AT,2022-12-03,Cases,32588,Austria,8809212
BE,2020-01-25,Cases,0,Belgium,11372068
BE,2020-02-01,Cases,0,Belgium,11372068
BE,2020-02-08,Cases,1,Belgium,11372068
BE,2020-02-15,Cases,0,Belgium,11372068
BE,2020-02-22,Cases,0,Belgium,11372068
BE,2020-02-29,Cases,0,Belgium,11372068
BE,2020-03-07,Cases,168,Belgium,11372068
BE,2020-03-14,Cases,520,Belgium,11372068
BE,2020-03-21,Cases,2126,Belgium,11372068
BE,2020-03-28,Cases,6319,Belgium,11372068
BE,2020-04-04,Cases,9297,Belgium,11372068
BE,2020-04-11,Cases,9587,Belgium,11372068
BE,2020-04-18,Cases,9165,Belgium,11372068
BE,2020-04-25,Cases,8142,Belgium,11372068
BE,2020-05-02,Cases,4192,Belgium,11372068
BE,2020-05-09,Cases,3079,Belgium,11372068
BE,2020-05-16,Cases,2393,Belgium,11372068
BE,2020-05-23,Cases,1821,Belgium,11372068
BE,2020-05-30,Cases,1376,Belgium,11372068
BE,2020-06-06,Cases,886,Belgium,11372068
BE,2020-06-13,Cases,846,Belgium,11372068
BE,2020-06-20,Cases,632,Belgium,11372068
BE,2020-06-27,Cases,659,Belgium,11372068
BE,2020-07-04,Cases,629,Belgium,11372068
BE,2020-07-11,Cases,631,Belgium,11372068
BE,2020-07-18,Cases,1237,Belgium,11372068
BE,2020-07-25,Cases,2021,Belgium,11372068
BE,2020-08-01,Cases,3675,Belgium,11372068
BE,2020-08-08,Cases,3999,Belgium,11372068
BE,2020-08-15,Cases,4468,Belgium,11372068
BE,2020-08-22,Cases,3599,Belgium,11372068
BE,2020-08-29,Cases,3131,Belgium,11372068
BE,2020-09-05,Cases,3226,Belgium,11372068
BE,2020-09-12,Cases,4653,Belgium,11372068
BE,2020-09-19,Cases,8270,Belgium,11372068
BE,2020-09-26,Cases,12055,Belgium,11372068
BE,2020-10-03,Cases,14820,Belgium,11372068
BE,2020-10-10,Cases,29308,Belgium,11372068
BE,2020-10-17,Cases,56184,Belgium,11372068
BE,2020-10-24,Cases,92294,Belgium,11372068
BE,2020-10-31,Cases,123820,Belgium,11372068
BE,2020-11-07,Cases,64939,Belgium,11372068
BE,2020-11-14,Cases,37112,Belgium,11372068
BE,2020-11-21,Cases,25624,Belgium,11372068
BE,2020-11-28,Cases,17544,Belgium,11372068
BE,2020-12-05,Cases,15494,Belgium,11372068
BE,2020-12-12,Cases,13217,Belgium,11372068
BE,2020-12-19,Cases,20601,Belgium,11372068
BE,2020-12-26,Cases,14270,Belgium,11372068
BE,2021-01-02,Cases,11139,Belgium,11372068
BE,2021-01-09,Cases,13525,Belgium,11372068
BE,2021-01-16,Cases,14515,Belgium,11372068
BE,2021-01-23,Cases,14645,Belgium,11372068
BE,2021-01-30,Cases,15983,Belgium,11372068
BE,2021-02-06,Cases,16033,Belgium,11372068
BE,2021-02-13,Cases,13245,Belgium,11372068
BE,2021-02-20,Cases,15264,Belgium,11372068
BE,2021-02-27,Cases,17035,Belgium,11372068
BE,2021-03-06,Cases,16395,Belgium,11372068
BE,2021-03-13,Cases,19512,Belgium,11372068
BE,2021-03-20,Cases,22620,Belgium,11372068
BE,2021-03-27,Cases,38122,Belgium,11372068
BE,2021-04-03,Cases,31411,Belgium,11372068
BE,2021-04-10,Cases,25013,Belgium,11372068
BE,2021-04-17,Cases,24513,Belgium,11372068
BE,2021-04-24,Cases,25041,Belgium,11372068
BE,2021-05-01,Cases,21393,Belgium,11372068
BE,2021-05-08,Cases,20917,Belgium,11372068
BE,2021-05-15,Cases,15720,Belgium,11372068
BE,2021-05-22,Cases,17057,Belgium,11372068
BE,2021-05-29,Cases,12635,Belgium,11372068
BE,2021-06-05,Cases,10111,Belgium,11372068
BE,2021-06-12,Cases,5891,Belgium,11372068
BE,2021-06-19,Cases,3319,Belgium,11372068
BE,2021-06-26,Cases,3392,Belgium,11372068
BE,2021-07-03,Cases,4032,Belgium,11372068
BE,2021-07-10,Cases,7192,Belgium,11372068
BE,2021-07-17,Cases,9713,Belgium,11372068
BE,2021-07-24,Cases,10052,Belgium,11372068
BE,2021-07-31,Cases,11250,Belgium,11372068
BE,2021-08-07,Cases,12011,Belgium,11372068
BE,2021-08-14,Cases,13143,Belgium,11372068
BE,2021-08-21,Cases,13857,Belgium,11372068
BE,2021-08-28,Cases,14183,Belgium,11372068
BE,2021-09-04,Cases,14099,Belgium,11372068
BE,2021-09-11,Cases,13508,Belgium,11372068
BE,2021-09-18,Cases,14298,Belgium,11372068
BE,2021-09-25,Cases,13909,Belgium,11372068
BE,2021-10-02,Cases,13474,Belgium,11372068
BE,2021-10-09,Cases,13905,Belgium,11372068
BE,2021-10-16,Cases,18767,Belgium,11372068
BE,2021-10-23,Cases,32491,Belgium,11372068
BE,2021-10-30,Cases,48290,Belgium,11372068
BE,2021-11-06,Cases,53813,Belgium,11372068
BE,2021-11-13,Cases,70249,Belgium,11372068
BE,2021-11-20,Cases,96788,Belgium,11372068
BE,2021-11-27,Cases,120133,Belgium,11372068
BE,2021-12-04,Cases,125834,Belgium,11372068
BE,2021-12-11,Cases,102305,Belgium,11372068
BE,2021-12-18,Cases,69992,Belgium,11372068
BE,2021-12-25,Cases,38347,Belgium,11372068
BE,2022-01-01,Cases,67232,Belgium,11372068
BE,2022-01-08,Cases,126343,Belgium,11372068
BE,2022-01-15,Cases,179045,Belgium,11372068
BE,2022-01-22,Cases,286508,Belgium,11372068
BE,2022-01-29,Cases,358686,Belgium,11372068
BE,2022-02-05,Cases,240113,Belgium,11372068
BE,2022-02-12,Cases,125043,Belgium,11372068
BE,2022-02-19,Cases,73142,Belgium,11372068
BE,2022-02-26,Cases,49811,Belgium,11372068
BE,2022-03-05,Cases,42258,Belgium,11372068
BE,2022-03-12,Cases,53760,Belgium,11372068
BE,2022-03-19,Cases,67509,Belgium,11372068
BE,2022-03-26,Cases,74524,Belgium,11372068
BE,2022-04-02,Cases,68963,Belgium,11372068
BE,2022-04-09,Cases,64684,Belgium,11372068
BE,2022-04-16,Cases,57231,Belgium,11372068
BE,2022-04-23,Cases,42828,Belgium,11372068
BE,2022-04-30,Cases,40657,Belgium,11372068
