location,target_end_date,target_type,true_value,location_name,population
BE,2022-05-07,Cases,31888,Belgium,11372068
BE,2022-05-14,Cases,28061,Belgium,11372068
BE,2022-05-21,Cases,17896,Belgium,11372068
BE,2022-05-28,Cases,13275,Belgium,11372068
BE,2022-06-04,Cases,11186,Belgium,11372068
BE,2022-06-11,Cases,11498,Belgium,11372068
BE,2022-06-18,Cases,17688,Belgium,11372068
BE,2022-06-25,Cases,23571,Belgium,11372068
BE,2022-07-02,Cases,34567,Belgium,11372068
BE,2022-07-09,Cases,48802,Belgium,11372068
BE,2022-07-16,Cases,54170,Belgium,11372068
BE,2022-07-23,Cases,32281,Belgium,11372068
BE,2022-07-30,Cases,32924,Belgium,11372068
BE,2022-08-06,Cases,23044,Belgium,11372068
BE,2022-08-13,Cases,16184,Belgium,11372068
BE,2022-08-20,Cases,12612,Belgium,11372068
BE,2022-08-27,Cases,11675,Belgium,11372068
BE,2022-09-03,Cases,10284,Belgium,11372068
BE,2022-09-10,Cases,9145,Belgium,11372068
BE,2022-09-17,Cases,14391,Belgium,11372068
BE,2022-09-24,Cases,14341,Belgium,11372068
BE,2022-10-01,Cases,18574,Belgium,11372068
BE,2022-10-08,Cases,21702,Belgium,11372068
BE,2022-10-15,Cases,20357,Belgium,11372068
BE,2022-10-22,Cases,15874,Belgium,11372068
BE,2022-10-29,Cases,9801,Belgium,11372068
BE,2022-11-05,Cases,5076,Belgium,11372068
BE,2022-11-12,Cases,5408,Belgium,11372068
BE,2022-11-19,Cases,4463,Belgium,11372068
BE,2022-11-26,Cases,5926,Belgium,11372068
BE,2022-12-03,Cases,6299,Belgium,11372068
BG,2020-01-25,Cases,0,Bulgaria,7075991
BG,2020-02-01,Cases,0,Bulgaria,7075991
BG,2020-02-08,Cases,0,Bulgaria,7075991
BG,2020-02-15,Cases,0,Bulgaria,7075991
BG,2020-02-22,Cases,0,Bulgaria,7075991
BG,2020-02-29,Cases,0,Bulgaria,7075991
BG,2020-03-07,Cases,0,Bulgaria,7075991
BG,2020-03-14,Cases,41,Bulgaria,7075991
BG,2020-03-21,Cases,122,Bulgaria,7075991
BG,2020-03-28,Cases,168,Bulgaria,7075991
BG,2020-04-04,Cases,172,Bulgaria,7075991
BG,2020-04-11,Cases,158,Bulgaria,7075991
BG,2020-04-18,Cases,217,Bulgaria,7075991
BG,2020-04-25,Cases,369,Bulgaria,7075991
BG,2020-05-02,Cases,347,Bulgaria,7075991
BG,2020-05-09,Cases,327,Bulgaria,7075991
BG,2020-05-16,Cases,254,Bulgaria,7075991
BG,2020-05-23,Cases,233,Bulgaria,7075991
BG,2020-05-30,Cases,91,Bulgaria,7075991
BG,2020-06-06,Cases,212,Bulgaria,7075991
BG,2020-06-13,Cases,555,Bulgaria,7075991
BG,2020-06-20,Cases,606,Bulgaria,7075991
BG,2020-06-27,Cases,753,Bulgaria,7075991
BG,2020-07-04,Cases,1052,Bulgaria,7075991
BG,2020-07-11,Cases,1498,Bulgaria,7075991
BG,2020-07-18,Cases,1463,Bulgaria,7075991
BG,2020-07-25,Cases,1674,Bulgaria,7075991
BG,2020-08-01,Cases,1524,Bulgaria,7075991
BG,2020-08-08,Cases,1507,Bulgaria,7075991
BG,2020-08-15,Cases,990,Bulgaria,7075991
BG,2020-08-22,Cases,798,Bulgaria,7075991
BG,2020-08-29,Cases,1033,Bulgaria,7075991
BG,2020-09-05,Cases,886,Bulgaria,7075991
BG,2020-09-12,Cases,841,Bulgaria,7075991
BG,2020-09-19,Cases,928,Bulgaria,7075991
BG,2020-09-26,Cases,1178,Bulgaria,7075991
BG,2020-10-03,Cases,1521,Bulgaria,7075991
BG,2020-10-10,Cases,2801,Bulgaria,7075991
BG,2020-10-17,Cases,4789,Bulgaria,7075991
BG,2020-10-24,Cases,8454,Bulgaria,7075991
BG,2020-10-31,Cases,15282,Bulgaria,7075991
BG,2020-11-07,Cases,21641,Bulgaria,7075991
BG,2020-11-14,Cases,22950,Bulgaria,7075991
BG,2020-11-21,Cases,23262,Bulgaria,7075991
BG,2020-11-28,Cases,21050,Bulgaria,7075991
BG,2020-12-05,Cases,19097,Bulgaria,7075991
BG,2020-12-12,Cases,18108,Bulgaria,7075991
BG,2020-12-19,Cases,12077,Bulgaria,7075991
BG,2020-12-26,Cases,6355,Bulgaria,7075991
BG,2021-01-02,Cases,5496,Bulgaria,7075991
BG,2021-01-09,Cases,5526,Bulgaria,7075991
BG,2021-01-16,Cases,3330,Bulgaria,7075991
BG,2021-01-23,Cases,2960,Bulgaria,7075991
BG,2021-01-30,Cases,3922,Bulgaria,7075991
BG,2021-02-06,Cases,4934,Bulgaria,7075991
BG,2021-02-13,Cases,5964,Bulgaria,7075991
BG,2021-02-20,Cases,6923,Bulgaria,7075991
BG,2021-02-27,Cases,10267,Bulgaria,7075991
BG,2021-03-06,Cases,13105,Bulgaria,7075991
BG,2021-03-13,Cases,18067,Bulgaria,7075991
BG,2021-03-20,Cases,24602,Bulgaria,7075991
BG,2021-03-27,Cases,25290,Bulgaria,7075991
BG,2021-04-03,Cases,24489,Bulgaria,7075991
BG,2021-04-10,Cases,19272,Bulgaria,7075991
BG,2021-04-17,Cases,14432,Bulgaria,7075991
BG,2021-04-24,Cases,11137,Bulgaria,7075991
BG,2021-05-01,Cases,7746,Bulgaria,7075991
BG,2021-05-08,Cases,5115,Bulgaria,7075991
BG,2021-05-15,Cases,4080,Bulgaria,7075991
BG,2021-05-22,Cases,2524,Bulgaria,7075991
BG,2021-05-29,Cases,1656,Bulgaria,7075991
BG,2021-06-05,Cases,1205,Bulgaria,7075991
BG,2021-06-12,Cases,868,Bulgaria,7075991
BG,2021-06-19,Cases,711,Bulgaria,7075991
BG,2021-06-26,Cases,510,Bulgaria,7075991
BG,2021-07-03,Cases,519,Bulgaria,7075991
BG,2021-07-10,Cases,412,Bulgaria,7075991
BG,2021-07-17,Cases,484,Bulgaria,7075991
BG,2021-07-24,Cases,699,Bulgaria,7075991
BG,2021-07-31,Cases,1425,Bulgaria,7075991
BG,2021-08-07,Cases,2819,Bulgaria,7075991
BG,2021-08-14,Cases,5089,Bulgaria,7075991
BG,2021-08-21,Cases,7949,Bulgaria,7075991
BG,2021-08-28,Cases,10237,Bulgaria,7075991
BG,2021-09-04,Cases,10397,Bulgaria,7075991
BG,2021-09-11,Cases,9290,Bulgaria,7075991
BG,2021-09-18,Cases,10893,Bulgaria,7075991
BG,2021-09-25,Cases,10637,Bulgaria,7075991
BG,2021-10-02,Cases,13116,Bulgaria,7075991
BG,2021-10-09,Cases,14760,Bulgaria,7075991
BG,2021-10-16,Cases,19378,Bulgaria,7075991
BG,2021-10-23,Cases,28454,Bulgaria,7075991
BG,2021-10-30,Cases,32962,Bulgaria,7075991
BG,2021-11-06,Cases,30471,Bulgaria,7075991
BG,2021-11-13,Cases,23313,Bulgaria,7075991
BG,2021-11-20,Cases,17736,Bulgaria,7075991
BG,2021-11-27,Cases,16073,Bulgaria,7075991
BG,2021-12-04,Cases,13826,Bulgaria,7075991
BG,2021-12-11,Cases,11702,Bulgaria,7075991
BG,2021-12-18,Cases,10181,Bulgaria,7075991
BG,2021-12-25,Cases,9545,Bulgaria,7075991
BG,2022-01-01,Cases,14302,Bulgaria,7075991
BG,2022-01-08,Cases,30517,Bulgaria,7075991
BG,2022-01-15,Cases,39528,Bulgaria,7075991
BG,2022-01-22,Cases,59152,Bulgaria,7075991
BG,2022-01-29,Cases,61831,Bulgaria,7075991
BG,2022-02-05,Cases,54043,Bulgaria,7075991
BG,2022-02-12,Cases,42030,Bulgaria,7075991
BG,2022-02-19,Cases,31128,Bulgaria,7075991
BG,2022-02-26,Cases,21383,Bulgaria,7075991
BG,2022-03-05,Cases,13015,Bulgaria,7075991
BG,2022-03-12,Cases,11365,Bulgaria,7075991
BG,2022-03-19,Cases,11538,Bulgaria,7075991
BG,2022-03-26,Cases,9388,Bulgaria,7075991
BG,2022-04-02,Cases,7351,Bulgaria,7075991
BG,2022-04-09,Cases,4690,Bulgaria,7075991
BG,2022-04-16,Cases,4082,Bulgaria,7075991
BG,2022-04-23,Cases,3667,Bulgaria,7075991
BG,2022-04-30,Cases,3837,Bulgaria,7075991
BG,2022-05-07,Cases,2421,Bulgaria,7075991
BG,2022-05-14,Cases,2354,Bulgaria,7075991
BG,2022-05-21,Cases,1813,Bulgaria,7075991
BG,2022-05-28,Cases,1342,Bulgaria,7075991
BG,2022-06-04,Cases,1148,Bulgaria,7075991
BG,2022-06-11,Cases,1052,Bulgaria,7075991
BG,2022-06-18,Cases,1176,Bulgaria,7075991
BG,2022-06-25,Cases,1933,Bulgaria,7075991
BG,2022-07-02,Cases,3123,Bulgaria,7075991
BG,2022-07-09,Cases,4842,Bulgaria,7075991
BG,2022-07-16,Cases,6496,Bulgaria,7075991
BG,2022-07-23,Cases,10454,Bulgaria,7075991
BG,2022-07-30,Cases,11805,Bulgaria,7075991
BG,2022-08-06,Cases,10466,Bulgaria,7075991
BG,2022-08-13,Cases,8910,Bulgaria,7075991
BG,2022-08-20,Cases,7406,Bulgaria,7075991
BG,2022-08-27,Cases,6211,Bulgaria,7075991
BG,2022-09-03,Cases,4874,Bulgaria,7075991
BG,2022-09-10,Cases,3480,Bulgaria,7075991
BG,2022-09-17,Cases,3494,Bulgaria,7075991
BG,2022-09-24,Cases,3422,Bulgaria,7075991
BG,2022-10-01,Cases,4818,Bulgaria,7075991
BG,2022-10-08,Cases,4846,Bulgaria,7075991
BG,2022-10-15,Cases,5177,Bulgaria,7075991
BG,2022-10-22,Cases,4377,Bulgaria,7075991
BG,2022-10-29,Cases,3946,Bulgaria,7075991
BG,2022-11-05,Cases,3040,Bulgaria,7075991
BG,2022-11-12,Cases,2340,Bulgaria,7075991
BG,2022-11-19,Cases,1702,Bulgaria,7075991
BG,2022-11-26,Cases,1341,Bulgaria,7075991
BG,2022-12-03,Cases,1114,Bulgaria,7075991
CH,2020-01-25,Cases,0,Switzerland,8466017
CH,2020-02-01,Cases,0,Switzerland,8466017
CH,2020-02-08,Cases,0,Switzerland,8466017
CH,2020-02-15,Cases,0,Switzerland,8466017
CH,2020-02-22,Cases,0,Switzerland,8466017
CH,2020-02-29,Cases,18,Switzerland,8466017
CH,2020-03-07,Cases,250,Switzerland,8466017
CH,2020-03-14,Cases,1091,Switzerland,8466017
CH,2020-03-21,Cases,5216,Switzerland,8466017
CH,2020-03-28,Cases,7501,Switzerland,8466017
CH,2020-04-04,Cases,6429,Switzerland,8466017
CH,2020-04-11,Cases,4602,Switzerland,8466017
CH,2020-04-18,Cases,2297,Switzerland,8466017
CH,2020-04-25,Cases,1490,Switzerland,8466017
CH,2020-05-02,Cases,923,Switzerland,8466017
CH,2020-05-09,Cases,434,Switzerland,8466017
CH,2020-05-16,Cases,321,Switzerland,8466017
CH,2020-05-23,Cases,153,Switzerland,8466017
CH,2020-05-30,Cases,120,Switzerland,8466017
CH,2020-06-06,Cases,111,Switzerland,8466017
CH,2020-06-13,Cases,138,Switzerland,8466017
CH,2020-06-20,Cases,149,Switzerland,8466017
CH,2020-06-27,Cases,312,Switzerland,8466017
CH,2020-07-04,Cases,643,Switzerland,8466017
CH,2020-07-11,Cases,619,Switzerland,8466017
CH,2020-07-18,Cases,675,Switzerland,8466017
CH,2020-07-25,Cases,810,Switzerland,8466017
CH,2020-08-01,Cases,1110,Switzerland,8466017
CH,2020-08-08,Cases,1039,Switzerland,8466017
CH,2020-08-15,Cases,1473,Switzerland,8466017
CH,2020-08-22,Cases,1703,Switzerland,8466017
CH,2020-08-29,Cases,2095,Switzerland,8466017
CH,2020-09-05,Cases,2235,Switzerland,8466017
CH,2020-09-12,Cases,2747,Switzerland,8466017
CH,2020-09-19,Cases,2579,Switzerland,8466017
CH,2020-09-26,Cases,2581,Switzerland,8466017
CH,2020-10-03,Cases,2520,Switzerland,8466017
CH,2020-10-10,Cases,5984,Switzerland,8466017
CH,2020-10-17,Cases,14054,Switzerland,8466017
CH,2020-10-24,Cases,29231,Switzerland,8466017
CH,2020-10-31,Cases,50598,Switzerland,8466017
CH,2020-11-07,Cases,57662,Switzerland,8466017
CH,2020-11-14,Cases,45222,Switzerland,8466017
CH,2020-11-21,Cases,33466,Switzerland,8466017
CH,2020-11-28,Cases,27689,Switzerland,8466017
CH,2020-12-05,Cases,26207,Switzerland,8466017
CH,2020-12-12,Cases,29334,Switzerland,8466017
CH,2020-12-19,Cases,30158,Switzerland,8466017
CH,2020-12-26,Cases,24208,Switzerland,8466017
CH,2021-01-02,Cases,24099,Switzerland,8466017
CH,2021-01-09,Cases,25687,Switzerland,8466017
CH,2021-01-16,Cases,17245,Switzerland,8466017
CH,2021-01-23,Cases,14051,Switzerland,8466017
CH,2021-01-30,Cases,12041,Switzerland,8466017
CH,2021-02-06,Cases,10553,Switzerland,8466017
CH,2021-02-13,Cases,8854,Switzerland,8466017
CH,2021-02-20,Cases,7048,Switzerland,8466017
CH,2021-02-27,Cases,7157,Switzerland,8466017
CH,2021-03-06,Cases,7358,Switzerland,8466017
CH,2021-03-13,Cases,8355,Switzerland,8466017
CH,2021-03-20,Cases,9964,Switzerland,8466017
CH,2021-03-27,Cases,11608,Switzerland,8466017
CH,2021-04-03,Cases,13125,Switzerland,8466017
CH,2021-04-10,Cases,12201,Switzerland,8466017
CH,2021-04-17,Cases,14856,Switzerland,8466017
CH,2021-04-24,Cases,14110,Switzerland,8466017
CH,2021-05-01,Cases,13465,Switzerland,8466017
CH,2021-05-08,Cases,10639,Switzerland,8466017
CH,2021-05-15,Cases,8897,Switzerland,8466017
CH,2021-05-22,Cases,7843,Switzerland,8466017
CH,2021-05-29,Cases,5670,Switzerland,8466017
CH,2021-06-05,Cases,4269,Switzerland,8466017
CH,2021-06-12,Cases,2759,Switzerland,8466017
CH,2021-06-19,Cases,1576,Switzerland,8466017
CH,2021-06-26,Cases,880,Switzerland,8466017
CH,2021-07-03,Cases,827,Switzerland,8466017
CH,2021-07-10,Cases,1609,Switzerland,8466017
CH,2021-07-17,Cases,3033,Switzerland,8466017
CH,2021-07-24,Cases,4692,Switzerland,8466017
CH,2021-07-31,Cases,4997,Switzerland,8466017
CH,2021-08-07,Cases,6303,Switzerland,8466017
