target_end_date,location,target_type
2021-01-01,DK,Hosps
2021-01-08,DK,Hosps
2021-01-15,DK,Hosps
2021-03-06,ES,Cases
2021-03-08,AT,Hosps
2021-03-08,BE,Hosps
2021-03-08,BG,Hosps
2021-03-08,CH,Hosps
2021-03-08,CY,Hosps
2021-03-08,CZ,Hosps
2021-03-08,DE,Hosps
2021-03-08,DK,Hosps
2021-03-08,EE,Hosps
2021-03-08,ES,Hosps
2021-03-08,FI,Hosps
2021-03-08,FR,Hosps
2021-03-08,GB,Hosps
2021-03-08,GR,Hosps
2021-03-08,HR,Hosps
2021-03-08,HU,Hosps
2021-03-08,IE,Hosps
2021-03-08,IS,Hosps
2021-03-08,IT,Hosps
2021-03-08,LI,Hosps
2021-03-08,LT,Hosps
2021-03-08,LU,Hosps
2021-03-08,LV,Hosps
2021-03-08,MT,Hosps
2021-03-08,NL,Hosps
2021-03-08,NO,Hosps
2021-03-08,PL,Hosps
2021-03-08,PT,Hosps
2021-03-08,RO,Hosps
2021-03-08,SE,Hosps
2021-03-08,SI,Hosps
2021-03-08,SK,Hosps
2021-03-13,BE,Hosps
2021-03-13,DK,Hosps
2021-03-13,EE,Hosps
2021-03-13,ES,Hosps
2021-03-13,FR,Hosps
2021-03-13,GB,Hosps
2021-03-13,HR,Hosps
2021-03-13,IE,Hosps
2021-03-13,NL,Hosps
2021-03-13,NO,Hosps
2021-03-13,SI,Hosps
2021-03-15,AT,Hosps
2021-03-15,BE,Hosps
2021-03-15,BG,Hosps
2021-03-15,CH,Hosps
2021-03-15,CY,Hosps
2021-03-15,CZ,Hosps
2021-03-15,DE,Hosps
2021-03-15,DK,Hosps
2021-03-15,EE,Hosps
2021-03-15,ES,Hosps
2021-03-15,FI,Hosps
2021-03-15,FR,Hosps
2021-03-15,GB,Hosps
2021-03-15,GR,Hosps
2021-03-15,HR,Hosps
2021-03-15,HU,Hosps
2021-03-15,IE,Hosps
2021-03-15,IS,Hosps
2021-03-15,IT,Hosps
2021-03-15,LI,Hosps
2021-03-15,LT,Hosps
2021-03-15,LU,Hosps
2021-03-15,LV,Hosps
2021-03-15,MT,Hosps
2021-03-15,NL,Hosps
2021-03-15,NO,Hosps
2021-03-15,PL,Hosps
2021-03-15,PT,Hosps
2021-03-15,RO,Hosps
2021-03-15,SE,Hosps
2021-03-15,SI,Hosps
2021-03-15,SK,Hosps
2021-03-20,DE,Cases
2021-03-20,FR,Cases
2021-03-20,LI,Cases
2021-03-20,SK,Cases
2021-03-20,AT,Deaths
2021-03-20,CH,Deaths
2021-03-20,CY,Deaths
2021-03-20,FI,Deaths
2021-03-20,FR,Deaths
2021-03-20,GB,Deaths
2021-03-20,LI,Deaths
2021-03-20,LT,Deaths
2021-03-20,BE,Hosps
2021-03-20,BG,Hosps
2021-03-20,CH,Hosps
2021-03-20,CY,Hosps
2021-03-20,CZ,Hosps
2021-03-20,DK,Hosps
2021-03-20,EE,Hosps
2021-03-20,ES,Hosps
2021-03-20,FR,Hosps
2021-03-20,GB,Hosps
2021-03-20,GR,Hosps
2021-03-20,HR,Hosps
2021-03-20,IE,Hosps
2021-03-20,IS,Hosps
2021-03-20,IT,Hosps
2021-03-20,LV,Hosps
2021-03-20,MT,Hosps
2021-03-20,NL,Hosps
2021-03-20,NO,Hosps
2021-03-20,PL,Hosps
2021-03-20,PT,Hosps
2021-03-20,SI,Hosps
2021-03-20,SK,Hosps
2021-03-22,AT,Hosps
2021-03-22,BE,Hosps
2021-03-22,BG,Hosps
2021-03-22,CH,Hosps
2021-03-22,CY,Hosps
2021-03-22,CZ,Hosps
2021-03-22,DE,Hosps
2021-03-22,DK,Hosps
2021-03-22,EE,Hosps
2021-03-22,ES,Hosps
2021-03-22,FI,Hosps
2021-03-22,FR,Hosps
2021-03-22,GB,Hosps
2021-03-22,GR,Hosps
2021-03-22,HR,Hosps
2021-03-22,HU,Hosps
2021-03-22,IE,Hosps
2021-03-22,IS,Hosps
2021-03-22,IT,Hosps
2021-03-22,LI,Hosps
2021-03-22,LT,Hosps
2021-03-22,LU,Hosps
2021-03-22,LV,Hosps
2021-03-22,MT,Hosps
2021-03-22,NL,Hosps
2021-03-22,NO,Hosps
2021-03-22,PL,Hosps
2021-03-22,PT,Hosps
2021-03-22,RO,Hosps
2021-03-22,SE,Hosps
2021-03-22,SI,Hosps
2021-03-22,SK,Hosps
2021-03-27,DE,Cases
2021-03-27,LI,Cases
2021-03-27,SK,Cases
2021-03-27,AT,Deaths
2021-03-27,CH,Deaths
2021-03-27,FI,Deaths
2021-03-27,GB,Deaths
2021-03-27,BE,Hosps
2021-03-27,BG,Hosps
2021-03-27,CH,Hosps
2021-03-27,CY,Hosps
2021-03-27,CZ,Hosps
2021-03-27,DK,Hosps
2021-03-27,EE,Hosps
2021-03-27,ES,Hosps
2021-03-27,FR,Hosps
2021-03-27,GB,Hosps
2021-03-27,GR,Hosps
2021-03-27,HR,Hosps
2021-03-27,IE,Hosps
2021-03-27,IS,Hosps
2021-03-27,IT,Hosps
2021-03-27,LV,Hosps
2021-03-27,MT,Hosps
2021-03-27,NL,Hosps
2021-03-27,NO,Hosps
2021-03-27,PL,Hosps
2021-03-27,PT,Hosps
2021-03-27,SI,Hosps
2021-03-27,SK,Hosps
2021-03-29,AT,Hosps
2021-03-29,BE,Hosps
2021-03-29,BG,Hosps
2021-03-29,CH,Hosps
2021-03-29,CY,Hosps
2021-03-29,CZ,Hosps
2021-03-29,DE,Hosps
2021-03-29,DK,Hosps
2021-03-29,EE,Hosps
2021-03-29,ES,Hosps
2021-03-29,FI,Hosps
2021-03-29,FR,Hosps
2021-03-29,GB,Hosps
2021-03-29,GR,Hosps
2021-03-29,HR,Hosps
2021-03-29,HU,Hosps
2021-03-29,IE,Hosps
2021-03-29,IS,Hosps
2021-03-29,IT,Hosps
2021-03-29,LI,Hosps
2021-03-29,LT,Hosps
2021-03-29,LU,Hosps
2021-03-29,LV,Hosps
2021-03-29,MT,Hosps
2021-03-29,NL,Hosps
2021-03-29,NO,Hosps
2021-03-29,PL,Hosps
2021-03-29,PT,Hosps
2021-03-29,RO,Hosps
2021-03-29,SE,Hosps
2021-03-29,SI,Hosps
2021-03-29,SK,Hosps
2021-04-03,FI,Cases
2021-04-03,SK,Cases
2021-04-03,AT,Deaths
2021-04-03,CH,Deaths
2021-04-03,CY,Deaths
2021-04-03,FI,Deaths
2021-04-03,GB,Deaths
2021-04-03,BE,Hosps
2021-04-03,BG,Hosps
2021-04-03,CH,Hosps
2021-04-03,CY,Hosps
2021-04-03,CZ,Hosps
2021-04-03,DK,Hosps
2021-04-03,EE,Hosps
2021-04-03,ES,Hosps
2021-04-03,FR,Hosps
2021-04-03,GB,Hosps
2021-04-03,GR,Hosps
2021-04-03,HR,Hosps
2021-04-03,IE,Hosps
2021-04-03,IS,Hosps
2021-04-03,IT,Hosps
2021-04-03,LV,Hosps
2021-04-03,MT,Hosps
2021-04-03,NL,Hosps
2021-04-03,NO,Hosps
2021-04-03,PL,Hosps
2021-04-03,PT,Hosps
2021-04-03,SI,Hosps
2021-04-03,SK,Hosps
2021-04-05,AT,Hosps
2021-04-05,BE,Hosps
2021-04-05,BG,Hosps
2021-04-05,CH,Hosps
2021-04-05,CY,Hosps
2021-04-05,CZ,Hosps
2021-04-05,DE,Hosps
2021-04-05,DK,Hosps
2021-04-05,EE,Hosps
2021-04-05,ES,Hosps
2021-04-05,FI,Hosps
2021-04-05,FR,Hosps
2021-04-05,GB,Hosps
2021-04-05,GR,Hosps
2021-04-05,HR,Hosps
2021-04-05,HU,Hosps
2021-04-05,IE,Hosps
2021-04-05,IS,Hosps
2021-04-05,IT,Hosps
2021-04-05,LI,Hosps
2021-04-05,LT,Hosps
2021-04-05,LU,Hosps
2021-04-05,LV,Hosps
2021-04-05,MT,Hosps
2021-04-05,NL,Hosps
2021-04-05,NO,Hosps
2021-04-05,PL,Hosps
2021-04-05,PT,Hosps
2021-04-05,RO,Hosps
2021-04-05,SE,Hosps
2021-04-05,SI,Hosps
2021-04-05,SK,Hosps
2021-04-10,DE,Cases
2021-04-10,FI,Cases
2021-04-10,LI,Cases
2021-04-10,SK,Cases
2021-04-10,AT,Deaths
2021-04-10,CH,Deaths
2021-04-10,CY,Deaths
2021-04-10,DE,Deaths
2021-04-10,FI,Deaths
2021-04-10,FR,Deaths
2021-04-10,GB,Deaths
2021-04-10,LT,Deaths
2021-04-10,BE,Hosps
2021-04-10,BG,Hosps
2021-04-10,CH,Hosps
2021-04-10,CY,Hosps
2021-04-10,CZ,Hosps
2021-04-10,DK,Hosps
2021-04-10,EE,Hosps
2021-04-10,ES,Hosps
2021-04-10,FR,Hosps
2021-04-10,GB,Hosps
2021-04-10,GR,Hosps
2021-04-10,HR,Hosps
2021-04-10,IE,Hosps
2021-04-10,IS,Hosps
2021-04-10,IT,Hosps
2021-04-10,LV,Hosps
2021-04-10,MT,Hosps
2021-04-10,NL,Hosps
2021-04-10,NO,Hosps
2021-04-10,PL,Hosps
2021-04-10,PT,Hosps
2021-04-10,SI,Hosps
2021-04-10,SK,Hosps
2021-04-12,AT,Hosps
2021-04-12,BE,Hosps
2021-04-12,BG,Hosps
2021-04-12,CH,Hosps
2021-04-12,CY,Hosps
2021-04-12,CZ,Hosps
2021-04-12,DE,Hosps
2021-04-12,DK,Hosps
2021-04-12,EE,Hosps
2021-04-12,ES,Hosps
2021-04-12,FI,Hosps
2021-04-12,FR,Hosps
2021-04-12,GB,Hosps
2021-04-12,GR,Hosps
2021-04-12,HR,Hosps
2021-04-12,HU,Hosps
2021-04-12,IE,Hosps
2021-04-12,IS,Hosps
2021-04-12,IT,Hosps
2021-04-12,LI,Hosps
2021-04-12,LT,Hosps
2021-04-12,LU,Hosps
2021-04-12,LV,Hosps
2021-04-12,MT,Hosps
2021-04-12,NL,Hosps
2021-04-12,NO,Hosps
2021-04-12,PL,Hosps
2021-04-12,PT,Hosps
2021-04-12,RO,Hosps
2021-04-12,SE,Hosps
2021-04-12,SI,Hosps
2021-04-12,SK,Hosps
2021-04-17,FI,Cases
2021-04-17,SK,Cases
2021-04-17,AT,Deaths
2021-04-17,CH,Deaths
2021-04-17,CY,Deaths
2021-04-17,FI,Deaths
2021-04-17,FR,Deaths
